1. A = antropoceen, E = ecologie/ecologische, N = natuur/lijke, W = wetenschappen, NW = natuurwetenschappen, T = technologie, R = religie, M = mens(en)/menselijk, S = spirituele/spiritualiteit, C = crisis(en), K = klimaat
François Bourguignon | p22 | - | armoede is aan het dalen
Christian Morrison | p22 | - | armoede is aan het dalen
Max Roser | p23 | - | arme vandaag hebben het in sommige opzichten beter dan rijken vroegen voorbeeld van Nathan Rothschild)
Esteban Ortiz-Ospina | p23 | - | arme vandaag hebben het in sommige opzichten beter dan rijken vroegen voorbeeld van Nathan Rothschild)
Etienne Vermeersch | p23 | + | WTK-bestel
Ray Kurzweil | p25 | + | voorspelt singulariteit, R belangerijk geweest, NW en T ipv R, dit betracht hij als positief
Philip Hefner | p26 | + | T is inherent R, R is een vorm van T, volgt Paul Tillich
Paul Tillich | p26 | - | R => poging van de M "om in de M eindigheid het eindige te boven te kommen"
Lynn White Jr. | p27 | - | oorsprong N en T in M- en wereldbeeld van het middeleeuse West-europa
David F. Noble | p27 | + | T => verlossing maar ook van bezorgdheid
Jeffrey C. Alexander | p28 | - | bouwt verder op Noble zijn idee, niet enkel "grote" T, ook alledaagse
Dirk De Wachter | p37 | + | bordeline tijden, pillenmaatschappij
Yuval Noah Harari | p38 | + | T is grond voor zorgen
Fons Van Dyck | p39 | - | helft belgen zijn anti-systeem
Francis Fukuyama | p39 | - | ressentiment => een van de belangerijkse drijfveren verkiezingen
Extinction Rebellion | p40 | - | K activisten, K is verloren als we kapitalistich blijven
Steven Pinker & Maarten Boudry | p43 | + | crisisen op te lossen dankzij WTK
Maarten Boudry | p43 | + | cf Steven Pinker
Stephen Batchelor | p43 | + | auteur Buddhism and Ecology, boeddhisme kan (en moet) creatief reageren op de moderne cultuur, EC =~ SC
Fritz Hull | p44 | + | auteur Earth&Spirit, spiritualiteit is nodig omdat het ons de wijsheid, verbeelding en kracht kan geven om EC aan te pakken, Spiritualiteit niet beperkt tot religie, EC =~ SC
Paul Brockelman | p45 | + | auteur The Greening of Faith, 4 redenen waarom EC een SC is, EC =~ SC
Michael S. Northcott | p47 | + | auteur The Care of Creation, EC is gevolg van consumptie maatschappij, van het gericht op God naar gericht op niet-God, EC =~ SC
Arne Naes | p47 | + | grondlegger "deep ecology" (natuur =! ruw materiaal dat de M tot beschikking staat)
Seyyed Hossein Nasr | p48 | + | EC heeft S & R dimensie want veroorzaakt door hoe de moderne M in de wereld staat, ware S enkel mogelijk in R kader, EC =~ SC
