
1. A = antropoceen, E = ecologie/ecologische, N = natuur/lijke, W = wetenschappen, NW = natuurwetenschappen, T = technologie, R = religie, M = mens(en)/menselijk, S = spirituele/spiritualiteit, C = crisis(en), K = klimaat
Abdullah Omar Nasseef | p372 | + | M tussen engelen en dieren
Alex Steffen | p136 | + | waanhoop en cynisme in voordeel van M tegen K
Amer Case | p82 | + | smartphones == uitbreiding van onze (mentale) ik => kan tot hogere spiritualiteit leiden (zelf-transcendentie, verbondenheid)
Andre Compte-Sponville | p71 | - | Atheisme & R, R niet nodig voor S
Andrew Watson | p411 | + | ontwirp met Lovelock parabel van de Madeliefjeswereld
Anna L. Peterson | p364 | - | cf Todd Le Vaseur
Anthony Flew | p267 | + | andere versie van parabel onzichtbare tuinman maar vanuit athéïstiche standpunt
Arne Naes | p47 | + | grondlegger "deep ecology" (natuur =! ruw materiaal dat de M tot beschikking staat)
Arnold Burms | p272 | + | motieve van M op te delen in 3 categorien: manipulatieve interesse, cognitieve interesse en zingevende interesse => onderscheid tussen feit en waarde, grotste uitdaging van onze tijd is de scheiding tussen NW en zingeving accepteren
Arnold Gehlen | p87 | + | M == Mängelwesen (kwetsbaar en nauwelijks leensvatbaar biologisch misbaksel)
Bernts en Berghuis | p58 | - | definitie "nieuwe spiritualiteit", revolutie voorspeld door Heelas en Woodhead nooit plaatsgevonden
Bron Taylor | p369 | + | beschrijft reactie op artikel van Lynn White: vijandelijke afwijzing, onverschilligheid, apologetiek en schuldbekentenis 
Bruce Smith | p323 | + | alternatieve reden voor begin A bij agrarische revolutie: ipv kijken naar wanneer M een grote impact heeft, kijken naar wat de "bouwstenen" voor deze impact gelegen zijn geweest
Carl Sagan | p73 | + | deel team Voyager, Pale Blue Dot, Astronomie => werkelijk plaats in U, oproep tot verantwoordellijkheid, NW in staat om diepe emotie op te roepen dat Sagan omschijft als S
Chen Hao | p389 | - | voorbeeld uit het taoisme, M zijn is verbonden zijn met omgeving
Christian Morrison | p22 | - | armoede is aan het dalen
Christophe Bonneuil, Jean-Baptiste Fressoz | p304 | - | M al eeuwen weten dat M grote impact heeft/zal hebben op milieu
Christopher Ives | p387 | + | vergroening boeddhisme
Darwin | p280 | + | NW en religie incompatibel => cf vb van sluipwespen
David F. Noble | p27 | + | T => verlossing maar ook van bezorgdheid
David Hay | p60 | - | S niet uniform, verandert met levenservaringen
David Wallace-Wells | p129 | - | schreef boek over worst case scenario => zorgde voor veel ophef
Dian Hitchcock | p403 | - | beoordeelde idee van Lovelock goed
Dirk De Wachter | p37 | + | bordeline tijden, pillenmaatschappij
Elaine Howard Ecklund | p238 | + | bestudeerde opinie/relatie tussen NW en R (wetenschappers across the globe), concludeerd dat NW en R niet perse in conflict moeten zijn, 
Eric Holthaus | p130 | + | akkoord met Mann, bang maken is contra productief
Eric Holthaus | p143 | + | waanhoop als gevolg van EC
Eric Schatzberg | p78 | + | definieert T, prof maakt gebruik van 2de definitie
Erle C. Ellis | p313 | - | A begint niet bij verdwijning megafauna => andere dieren kunnen ook lokale impact hebben op het ecosysteem & te verspreid over de tijd
Esteban Ortiz-Ospina | p23 | - | arme vandaag hebben het in sommige opzichten beter dan rijken vroegen voorbeeld van Nathan Rothschild)
Etienne Vermeersch | p23 | + | WTK-bestel
Eugene F. Stroemer, George Perkin Marsch, Antonio Stoppani | p 299 | - | medebedenkers term A (informeel gebruikt)
Evanne Nowak | p147 | + | effect EC op mentaal welzijn (groep)
Extinction Rebellion | p40 | - | K activisten, K is verloren als we kapitalistich blijven
Fons Van Dyck | p39 | - | helft belgen zijn anti-systeem
Ford Doolittle | p408 | + | kritiek op Lovelock => Gaia kan geen levend wezen zijn, want stelt beeld van de natuur voor dat "fout" is in het licht van evolutiebiologie. Kan gevaar vormen voor K want kan verkeerd beeld schetsen dat Gaia er zal zijn om te helpen in de EC, atmos is resultaat van toeval, niet van zelfregulering
Francis Fukuyama | p39 | - | ressentiment => een van de belangerijkse drijfveren verkiezingen
Francis S. Collins | p244, pleidooi p246-254 | + | aanhanger integratie model
François Bourguignon | p22 | - | armoede is aan het dalen
Fransisco Guerra | p330 | - | bescrijft tweede reis Columbus
Fransiscus van Assisi | p367 | + | heilige die voor natuur streed (beschouwde andere schepsels als familieleden van dezelfde hemelse vader
Fritz Hull | p44 | + | auteur Earth&Spirit, spiritualiteit is nodig omdat het ons de wijsheid, verbeelding en kracht kan geven om EC aan te pakken, Spiritualiteit niet beperkt tot religie, EC =~ SC
Georges Louis Leclerq, compte de Buffon | p302 | - | cf Tommas William Jenkyn
Gianni Vattimo | p234 | - | aangehaald als belangerijke philosoof in het eerste boek van de prof
Gillian Caldwell | p145 | - | voorbeeld van "klimaattrauma"
Grant R. Jeffrey | p175 | + | EC is leugen door "elite" om haar verborgen agenda te realiseren, extreem voorbeeld om belangerijkse punten aan te tonen, dit is veroorzaakt door angst (om zijn gewoontes te veranderen, om zijn vrijheid te beslissen,...) (a really crazy man, but with some good points imo)
Gregory Baum | p207 | + | almost same as Peter L. Berger
Greta Thunberg | p117,p143 | + | leidende figuur van klimaat activisme, vorm van autisme waardoor EC extra impact op haar (of zoals de prof zich afvraag, zou dit niet de normale reactie moeten zijn? px)
Greta Thunber | p137 | + | phase hoop is voorbij, actie NU is nodig
Hamilon | p139 | + | altijd hoopvol blijven kan belemmering vormen voor waarheid
Herman De Dijn | p272 | + | cf Arnold Burms
Ian G. Barbour | p236 | + | grondlegger studie NW en R, stelde 4 modellen voor om de samenhang te beschijven(p236-237)
James Lovelock | hdstk 9, vooral 9.2 | + | Gaiahypothese (Aarde als één systeem), parabel van de Madeliefjeswereld
Jean-François Lyotard | p262 | + | litige vs differend
Jeffrey C. Alexander | p28 | - | bouwt verder op Noble zijn idee, niet enkel "grote" T, ook alledaagse
Jerome Bernstein & Joanna Macy | p150 | - | ervaring als psycholoog met patienten die zorgen met EC hadden
Jerry A. Coyne | p244, pleidooi p254-262, p282 | + | aanhanger conflict model, vind NOMA een verdunning van de religie
Joanna Macy | p387 | + | ecoboeddhisme
John Houghton | p106 | + | gevolgen voor de M van de opwarming van de aarde (zeespiegel, voedselvoorziening, zoet water, lokale ecosystemen, volksgezondheid)
John Lennon | p199 | - | Imagine => radicale en antireligieuze boodschap vermomd in religieuze vorm
John Milton Yinger | p204 | - | definieert religies dankzij functionele definitie
John Robert McNeill | p339 | - | werkte sammen met Stefen en Curtzen over "grote versnelling", gebruikt daar indicatoren voor (p344)
John Wisdom | p266 | - | originele bedenker van de parabel van de onzichtbare tuinman
Judi Neal | p53 | - | zelf omschrijving als "internationale erkende auteur, spreker, coach en consultent" qua S in een ondernemen
